sName,fName,fNameExt,mName,birthday,birthplace,sex,cStatus,height,weight,bType
Smith,Jessica,,Shea,1/24/1999,Manila,F,Single,1.5,56,AB
Johnson,Aljon,JR,Rouse,7/18/1995,Singapore,M,Single,1.75,80,AB
Williams,James,,Hartley,9/12/1993,Tokyo,M,Married,1.7,67,A
Jones,Robert,III,Mayfield,9/2/1994,London,M,Single,1.4,73,B
Brown,Dave,,Elder,6/14/1999,Pattaya,M,Single,1.6,85,B
Davis,Andrea,,Rankin,4/23/1997,Barcelona,F,Single,1.6,76,O
Miller,Thea,,Hanna,2/28/1996,Milan,F,Single,1.5,67,B
Wilson,Bea,,Cowan,8/24/1998,Hong Kong,F,Single,1.8,90,O
Moore,Jessica,,Lucero,12/23/1997,Bali,F,Single,1.3,45,O
Taylor,Kaye,,Arroyo,10/26/2000,Osaka,F,Single,1.5,56,AB
Anderson,Roy,,Slaughter,1/25/2000,Bangkok,M,Single,1.5,60,B
Thomas,Marie,,Haas,3/30/1994,London,F,Single,1.6,67,A
Jackson,Chad,,Oconnell,4/23/2000,Paris,M,Single,1.43,47,O
White,Jazel,,Minor,5/18/1993,Dubia,F,Single,1.57,57,O
Harris,Jannah,,Kendrick,2/28/1996,New York,F,Single,1.5,67,A
Martin,Nico,SR,Shirley,8/24/1998,Paris,M,Single,1.75,70,A
Thompson,Nicole,,Kendall,12/23/1997,Tokyo,F,Single,1.7,77,O
Garcia,Francine,,Boucher,10/26/2000,Phuket,F,Single,1.4,57,AB
Martinez,Eldridge,JR,Archer,9/12/1993,Mecca,M,Single,1.6,56,B
Robinson,Toby,,Boggs,9/2/1994,Istanbul,M,Single,1.6,80,B
Clark,Marcos,JR,Odell,6/14/1999,Seoul,M,Single,1.5,67,A
Rodriguez,Alex,,Dougherty,4/23/1997,Manila,F,Single,1.8,73,B
Lewis,James,,Andersen,2/28/1996,Pattaya,M,Single,1.56,85,O
Lee,Way,,Newell,8/24/1998,Osaka,M,Single,1.65,76,B
Walker,Sky,,Crowe,6/14/1999,Manila,M,Single,1.55,67,A
Hall,Philip,,Wang,4/23/1997,Bali,M,Single,1.83,90,B
Allen,Eduard,,Friedman,2/28/1996,New York,M,Single,1.45,45,O
Young,Joshua,,Bland,8/24/1998,Barcelona,M,Single,1.7,56,AB
Hernandez,Joseph,,Swain,12/23/1997,Mecca,M,Single,1.6,60,B
King,Nemo,,Holley,10/26/2000,Paris,M,Single,1.34,67,O
Wright,Lightning,JR,Felix,1/25/2000,Bali,M,Single,1.7,47,O
Lopez,Al,,Pearce,3/30/1994,Antalya,M,Married,1.6,57,O
Hill,X El,,Childs,4/23/2000,Hong Kong,M,Single,1.56,67,O
Earp,Amelia,,Scott,5/6/2017,London,F,Married,1.5,65,AB
Earthman,Jake,JR,Green,6/20/1985,Mexico City,M,Single,1.9,85,A
Eatherton,Harry,,Baker,9/12/1987,Bangkok,M,Single,1.9,90,O
Eatman,Jacob,,Gonzalez,7/29/1999,New York,M,Single,1.7,78,B
Eatmon,Charlie,,Nelson,1/23/1985,Mexico City,M,Single,1.8,84,A
Jacko,Thomas,JR,Carter,6/14/1990,London,M,Single,1.88,86,O
Jackovich,George,,Mitchell,8/24/1994,London,M,Single,1.65,90,AB
Jackowiak,Oscar,,Perez,9/9/1999,Mexico City,M,Widowed,1.78,95,O
Jackowski,James,SR,Roberts,12/30/1980,Bangkok,M,Single,1.89,97,A
Jacks,William,,Turner,5/25/1975,New York,M,Single,1.56,65,A
Jackson,Noah,,Phillips,4/18/1998,London,F,Separated,1.68,65,A
